Date,App_Name,Category,Minutes_Used
2026-07-28,Google Calendar,Productivity,13
2026-07-29,TikTok,Social Media,145
2026-07-29,Instagram,Social Media,71
2026-07-29,X,Social Media,94
2026-07-29,Coursera,Education,28
2026-07-29,Khan Academy,Education,10
2026-07-29,YouTube,Entertainment,51
2026-07-29,Netflix,Entertainment,73
2026-07-29,VS Code,Coding,42
2026-07-29,Terminal,Coding,85
2026-07-29,GitHub,Coding,70
2026-07-29,Notion,Productivity,27
2026-07-29,Google Calendar,Productivity,10
2026-07-30,TikTok,Social Media,93
2026-07-30,Instagram,Social Media,35
2026-07-30,X,Social Media,103
2026-07-30,Coursera,Education,5
2026-07-30,Khan Academy,Education,6
2026-07-30,YouTube,Entertainment,68
2026-07-30,Netflix,Entertainment,52
2026-07-30,VS Code,Coding,60
2026-07-30,Terminal,Coding,67
2026-07-30,GitHub,Coding,114
2026-07-30,Notion,Productivity,25
2026-07-30,Google Calendar,Productivity,6
2026-07-31,TikTok,Social Media,52
2026-07-31,Instagram,Social Media,110
2026-07-31,X,Social Media,60
2026-07-31,Coursera,Education,24
2026-07-31,Khan Academy,Education,13
2026-07-31,YouTube,Entertainment,42
2026-07-31,Netflix,Entertainment,70
2026-07-31,VS Code,Coding,47
2026-07-31,Terminal,Coding,93
2026-07-31,GitHub,Coding,47
2026-07-31,Notion,Productivity,12
2026-07-31,Google Calendar,Productivity,37
